hanzi_trad	hanzi_simp	pinyin	transcr	transc_rus	rus_translation	note	chinese_translation
NONE	顿	dùn	NONE	NONE	Дон	NONE	NONE
NONE	纳德姆	nàdémǔ	NONE	NONE	Надым	NONE	NONE
NONE	伯朝拉	bócháolā	NONE	NONE	Печора	NONE	NONE
NONE	库班	kùbān	NONE	NONE	Кубань	NONE	NONE
NONE	捷列克	jiélièkè	NONE	NONE	Терек	NONE	NONE
NONE	乌拉尔	wūlā’ěr	NONE	NONE	Урал	NONE	NONE
NONE	叶尼塞	yènísāi	NONE	NONE	Енисей	NONE	NONE
NONE	泰梅尔	tàiméi’ěr	NONE	NONE	Нижняя Таймыра	NONE	NONE
NONE	普尔	pǔ’ěr	NONE	NONE	Пур	NONE	NONE
NONE	涅瓦	nièwǎ	NONE	NONE	Нева	NONE	NONE
NONE	图们	túmén	NONE	NONE	Туман-	NONE	NONE
NONE	阿巴坎	ābākǎn	NONE	NONE	Абакан	NONE	NONE
NONE	卡马	kǎmǎ	NONE	NONE	Кама	NONE	NONE
NONE	梅津	méijīn	NONE	NONE	Мезень	NONE	NONE
NONE	乌苏里	wūsūlǐ	NONE	NONE	Уссури	NONE	NONE
NONE	结雅	jiēyǎ	NONE	NONE	Зея	NONE	NONE
NONE	乌法	wūfǎ	NONE	NONE	Уфа	NONE	NONE
NONE	阿尔丹	ā’ěrdān	NONE	NONE	Алдан	NONE	NONE
NONE	塔夫达	tǎfūdá	NONE	NONE	Тавда	NONE	NONE
NONE	伊希姆	yīxīmǔ	NONE	NONE	Ишим	NONE	NONE
NONE	苏拉	sūlāsūla	NONE	NONE	Сура	NONE	NONE
NONE	丘雷姆	qiūléimǔ	NONE	NONE	Чулым	NONE	NONE
NONE	维亚特卡	wéiyàtèkǎ	NONE	NONE	Вятка	NONE	NONE
NONE	石勒喀	shílèkā	NONE	NONE	Шилка	NONE	NONE
NONE	尤留赞	yóuliúzàn	NONE	NONE	Юрюзань	NONE	NONE
NONE	布伊	bùyī	NONE	NONE	Буй	NONE	NONE
NONE	堪察加	kānchájiā	NONE	NONE	Камчатка	NONE	NONE
NONE	额尔齐斯	é’ěrqísī	NONE	NONE	Иртыш	NONE	NONE
NONE	乌赫塔	wūhètǎ	NONE	NONE	Ухта	NONE	NONE
NONE	普里皮亚季	pǔlǐpíyàjì	NONE	NONE	Припять	NONE	NONE
NONE	亚赫罗马	yàhèluómǎ	NONE	NONE	Яхрома	NONE	NONE
NONE	雅各布	yāgèbù	NONE	NONE	Ворьема	NONE	NONE
NONE	莫斯科	mòsīkē	NONE	NONE	Москва	NONE	NONE
NONE	安加拉	ānjiālā	NONE	NONE	Ангара	NONE	NONE
NONE	库马	kùmǎ	NONE	NONE	Кума	NONE	NONE
NONE	拉巴	lāba	NONE	NONE	Лаба	NONE	NONE
NONE	舒亚	shūyà	NONE	NONE	Шуя	NONE	NONE
NONE	米阿斯	mǐāsī	NONE	NONE	Миасс	NONE	NONE
NONE	萨马拉	sàmǎlā	NONE	NONE	Самара	NONE	NONE
NONE	别拉亚	biélāyà	NONE	NONE	Белая	NONE	NONE
NONE	阿尔东	ā’ěrdōng	NONE	NONE	Ардон	NONE	NONE
NONE	霍尔	huò’ěr	NONE	NONE	Хор	NONE	NONE
NONE	尤拉	yóulā	NONE	NONE	Юла	NONE	NONE
NONE	布祖卢克	bùzǔlúkè	NONE	NONE	Бузулук	NONE	NONE
NONE	扎扎	zhāzhā	NONE	NONE	Заза	NONE	NONE
NONE	巴克桑	bākèsāng	NONE	NONE	Баксан	NONE	NONE
NONE	丘赫洛马	qiūhèluòmǎ	NONE	NONE	Чухлома-	NONE	NONE
NONE	克拉斯诺耶	kèlāsīnuòyē	NONE	NONE	Красное	NONE	NONE
NONE	瓦尔代	wǎ’ěrdài	NONE	NONE	Валдай-	NONE	NONE
NONE	米亚杰尔	mǐyàjiéěr	NONE	NONE	Мядель	NONE	NONE
NONE	乌多姆利亚	wūduōmǔlìyà	NONE	NONE	Удомля	NONE	NONE
NONE	巴尔古津	bāěrgǔjīn	NONE	NONE	Баргузин	NONE	NONE
NONE	图拉	túlā	NONE	NONE	Тура	NONE	NONE
NONE	坎	kǎn	NONE	NONE	Кан	NONE	NONE
NONE	塔拉	tǎlā	NONE	NONE	Тара	NONE	NONE
NONE	尼布楚	níbùchǔ	NONE	NONE	Нерча	NONE	NONE
NONE	卡拉苏克	kǎlāsūkè	NONE	NONE	Карасук	NONE	NONE
NONE	卡通	kǎtōng 	NONE	NONE	Катунь	NONE	NONE
NONE	布列亚	bùlièyà	NONE	NONE	Бурея	NONE	NONE
NONE	塔塔	tǎtǎ	NONE	NONE	Татта	NONE	NONE
NONE	哈尔科夫	hā’ěrkēfū	NONE	NONE	Харьков	NONE	NONE
NONE	沃罗涅日	wòluónièrì	NONE	NONE	Воронеж	NONE	NONE
NONE	普拉	pǔlā	NONE	NONE	Пра	NONE	NONE
NONE	阿拉特里	àlatèlǐ	NONE	NONE	Алатырь	NONE	NONE
NONE	沃尔马	wù’ěrmǎ	NONE	NONE	Волма	NONE	NONE
NONE	托斯诺	tuōsīnuò	NONE	NONE	Тосна	NONE	NONE
NONE	卡斯	kǎ sī	NONE	NONE	Кас	NONE	NONE
NONE	瓦盖	wǎ gài	NONE	NONE	Вагай	NONE	NONE
NONE	蒂萨河	dìsà hé	NONE	NONE	Тисса	NONE	NONE
NONE	梅拉	méilā	NONE	NONE	Мера	NONE	NONE
NONE	比亚	bǐyà	NONE	NONE	Бия	NONE	NONE
NONE	科斯特罗马	kēsītèluómǎ	NONE	NONE	Кострома	NONE	NONE
NONE	博尔贾	bó’ěrjiǎ	NONE	NONE	Борзя	NONE	NONE
NONE	雄	xióng	NONE	NONE	Сюнь	NONE	NONE
NONE	涅亚	nièyà	NONE	NONE	Нея	NONE	NONE
NONE	因萨尔	yīnsà’ěr	NONE	NONE	Инсар	NONE	NONE
NONE	普肖尔	pǔxiào’ěr	NONE	NONE	Псёл	NONE	NONE
NONE	谢廖扎	xièliàozhà	NONE	NONE	Серёжа	NONE	NONE
NONE	吉达	jídá	NONE	NONE	Джида	NONE	NONE
NONE	阿巴	ābā	NONE	NONE	Аба	NONE	NONE
NONE	古西	gǔxī	NONE	NONE	Гусь	NONE	NONE
NONE	科拉	kēlā	NONE	NONE	Кола	NONE	NONE
NONE	卢扎	lúzā	NONE	NONE	Луза	NONE	NONE
NONE	巴雷什	bāléishí	NONE	NONE	Барыш	NONE	NONE
NONE	科恩	kē’ēn	NONE	NONE	Кемь	NONE	NONE
NONE	苏达	sūdá	NONE	NONE	Суда	NONE	NONE
NONE	卡拉	kǎlā	NONE	NONE	Кара	NONE	NONE
NONE	厄	è	NONE	NONE	Ы	NONE	NONE
NONE	奥廖尔	àoliáo’ěr	NONE	NONE	Олёр	NONE	NONE
NONE	斯维斯洛奇	sīwéisīluòqí	NONE	NONE	Свислочь	NONE	NONE
NONE	伊斯特拉	yīsītèlā	NONE	NONE	Истра	NONE	NONE
NONE	维亚济马	wéiyàjìmǎ	NONE	NONE	Вязьма	NONE	NONE
NONE	利瓦	lìwǎ	NONE	NONE	Моства	NONE	NONE
NONE	梅拉	méilā	NONE	NONE	Мыла	NONE	NONE
NONE	萨尔	sà’ěr	NONE	NONE	Сал	NONE	NONE
NONE	乌利亚	wūlìyà	NONE	NONE	Улья	NONE	NONE
NONE	捷里别尔卡	jiélǐbié’ěrkǎ	NONE	NONE	Териберка	NONE	NONE
NONE	帕拉	pàlā	NONE	NONE	Пара	NONE	NONE
NONE	日兹德拉	rìzīdélā	NONE	NONE	Жиздра	NONE	NONE
NONE	苏多格达	sūduōgédá	NONE	NONE	Судогда	NONE	NONE
NONE	索奇	suǒqí	NONE	NONE	Сочи	NONE	NONE
NONE	塔吉尔	tǎjí’ěr	NONE	NONE	Тагил	NONE	NONE
NONE	列日	lièrì	NONE	NONE	Реж	NONE	NONE
NONE	密尔	mìěr	NONE	NONE	Мир	NONE	NONE
NONE	沙赫乔尔斯克	shāhèqiáo’ěrsīkè	NONE	NONE	Шахтёрск	NONE	NONE
NONE	基日	jīrì	NONE	NONE	Кижи	NONE	NONE
NONE	拉拉	lālā	NONE	NONE	Лала	NONE	NONE
NONE	维捷格拉	wéijiégélā	NONE	NONE	Вытегра	NONE	NONE
NONE	博代博	bódàibó	NONE	NONE	Бодайбо	NONE	NONE
NONE	布尔	bùěr	NONE	NONE	Бур	NONE	NONE
NONE	捷别尔达	jiébié’ěrdá	NONE	NONE	Теберда	NONE	NONE
NONE	乌斯	wūsī	NONE	NONE	Ус	NONE	NONE
NONE	艾达尔	yìdáěr	NONE	NONE	Айдар	NONE	NONE
NONE	卡缅卡	kǎmiǎnkǎ	NONE	NONE	Каменка	NONE	NONE
NONE	克拉斯诺耶	kèlāsīnuòyē	NONE	NONE	Красносельское	NONE	NONE
NONE	克拉斯诺耶	kèlāsīnuòyē	NONE	NONE	Красненское	NONE	NONE
NONE	阿拉尔	ālāěr	NONE	NONE	Аларь	NONE	NONE
NONE	伊尔库茨克	yī’ěrkùcìkè	NONE	NONE	Иркутск-	NONE	NONE
NONE	弗拉基米尔	fúlājīmǐ’ěr	NONE	NONE	Владимир-	NONE	NONE
NONE	阿列克谢耶夫卡	ālièkèxièyēfūkǎ	NONE	NONE	Алексеевка	NONE	NONE
NONE	卡缅卡	kǎmiǎnkǎ	NONE	NONE	Каменка	NONE	NONE
NONE	亚历山德罗夫斯克	yàlìshāndéluófūsīkè	NONE	NONE	Александровск	NONE	NONE
NONE	亚历山德罗夫卡	yàlìshāndéluófūkǎ	NONE	NONE	Александровка	NONE	NONE
NONE	库皮诺	kùpínuò	NONE	NONE	Купино	NONE	NONE
NONE	沃罗诺沃	wòluònuòwò	NONE	NONE	Вороново-	NONE	NONE
NONE	扎列西耶	zālièxīyē	NONE	NONE	Залесье-	NONE	NONE
NONE	尼古拉	nígǔlā	NONE	NONE	Никола-	NONE	NONE
NONE	乌斯秋日纳	wūsīqiūrìnà	NONE	NONE	Устюжена-	NONE	NONE
NONE	克拉斯诺耶	kèlāsīnuòyē	NONE	NONE	Краснянское	NONE	NONE
NONE	科比	kēbǐ	NONE	NONE	Кобь-	NONE	NONE
NONE	科兹洛夫卡	kēzīluòfūkǎ	NONE	NONE	Козловка-	NONE	NONE
NONE	别列兹尼基	biélièzīníjì	NONE	NONE	Березники-	NONE	NONE
NONE	别列佐夫卡	biélièzuǒfūkǎ	NONE	NONE	Березовка-	NONE	NONE
NONE	古兰	gǔlán	NONE	NONE	Гуран-	NONE	NONE
NONE	佩图什基	pèitúshíjī	NONE	NONE	Петушки-	NONE	NONE
NONE	戈罗季谢	gēluójìxiè	NONE	NONE	Городище-	NONE	NONE
NONE	克拉萨维诺	kèlāsàwéinuò	NONE	NONE	Красавино-	NONE	NONE
NONE	尼科利斯克	níkēlìsīkè	NONE	NONE	Никольск-	NONE	NONE
NONE	捷尔任斯基	jié’ěrrènsījī	NONE	NONE	Дзержинский-	NONE	NONE
NONE	捷尔任斯克	jié’ěrrènsīkè	NONE	NONE	Дзержинск-	NONE	NONE
NONE	杰米多夫	jiémǐduōfū	NONE	NONE	Демидов-	NONE	NONE
NONE	米尔内	mǐ’ěrnèi	NONE	NONE	Мирный-	NONE	NONE
NONE	斯莫列维奇	sīmòlièwéiqí	NONE	NONE	Смолевичи-	NONE	NONE
NONE	普里莫尔斯克	pǔlǐmò’ěrsīkè	NONE	NONE	Приморск-	NONE	NONE
NONE	哈罗夫斯克	hāluofūsīkè	NONE	NONE	Харовск-	NONE	NONE
NONE	索斯诺夫卡	suǒsīnuòfūkǎ	NONE	NONE	Сосновка-	NONE	NONE
NONE	米哈伊洛夫卡	mǐhāyīluòfūkǎ	NONE	NONE	Михайловка-	NONE	NONE
NONE	特罗伊茨克	tèluóyīcíkè	NONE	NONE	Троицк-	NONE	NONE
NONE	乌斯曼	wūsīmàn	NONE	NONE	Усмань-	NONE	NONE
NONE	切列姆霍沃	qiēlièmǔhuòwò	NONE	NONE	Черемхово-	NONE	NONE
NONE	西伯利亚	xībólìyà	NONE	NONE	Сибирь	NONE	NONE
NONE	奥特拉德诺耶	àotèlādénuòyē	NONE	NONE	Отрадное-	NONE	NONE
NONE	帕尼诺	pànínuò	NONE	NONE	Панино-	NONE	NONE
NONE	普希金诺	pǔxījīnnuò	NONE	NONE	Пушкино-	NONE	NONE
NONE	切列姆霍沃	qiēlièmǔhuòwò	NONE	NONE	Черемхово-	NONE	NONE
NONE	列奇察	lièqíchá	NONE	NONE	Речица-	NONE	NONE
NONE	莫斯科夫斯基	mòsīkēfūsījī	NONE	NONE	Московский-	NONE	NONE
NONE	罗索希	luósuoxī	NONE	NONE	Россоша-	NONE	NONE
NONE	基尔扎奇	jī’ěrzhāqí	NONE	NONE	Киржач	NONE	NONE
NONE	维特	wéitè	NONE	NONE	Вить	NONE	NONE
NONE	希洛克	xīluòkè	NONE	NONE	Хилок	NONE	NONE
NONE	鲁扎	lǔzā	NONE	NONE	Руза	NONE	NONE
NONE	伊尔比特	yī’ěrbǐtè	NONE	NONE	Ирбит	NONE	NONE
NONE	布拉	bùlā	NONE	NONE	Була	NONE	NONE
NONE	雷西瓦	léixīwǎ	NONE	NONE	Лысьва	NONE	NONE
NONE	尼瓦	níwǎ	NONE	NONE	Нива	NONE	NONE
NONE	赤塔	chìtǎ	NONE	NONE	Чита	NONE	NONE
NONE	卡尔加特	kǎ’ěrjiātè	NONE	NONE	Каргат	NONE	NONE
NONE	乌拉	wūlā	NONE	NONE	Улла	NONE	NONE
NONE	杜布纳	dùbùnà	NONE	NONE	Дубна	NONE	NONE
NONE	苏达	sūdá	NONE	NONE	Судское	NONE	NONE
NONE	瑟乔夫卡	sèqiáofūkǎ	NONE	NONE	Сычёвка-	NONE	NONE
NONE	谢利措	xièlìcuò	NONE	NONE	Сельцо-	NONE	NONE
NONE	谢米卢基	xièmǐlújī	NONE	NONE	Семилуки-	NONE	NONE
NONE	斯图皮诺	sītúpínuò	NONE	NONE	Ступино-	NONE	NONE
NONE	休奇耶	xiūqíyē	NONE	NONE	Щучье-	NONE	NONE
NONE	胡日尔	húrì’ěr	NONE	NONE	Хужир-	NONE	NONE
NONE	维捷布斯克	wéijiébùsīkè	NONE	NONE	Витебск-	NONE	NONE
NONE	格罗杰科沃	géluójiékēwò	NONE	NONE	Гродеково-	NONE	NONE
NONE	米哈伊洛夫卡	mǐhāyīluòfūkǎ	NONE	NONE	Михайловка-	NONE	NONE
NONE	阿列克谢耶夫卡	ālièkèxièyēfūkǎ	NONE	NONE	Алексеевка-	NONE	NONE
NONE	帕尼诺	pànínuò	NONE	NONE	Панино-	NONE	NONE
NONE	锡安	xī’ān	NONE	NONE	Сиан-	NONE	NONE
NONE	别列佐夫卡	biélièzuǒfūkǎ	NONE	NONE	Березовка-	NONE	NONE
NONE	克柳奇	kèliǔqí	NONE	NONE	Ключевской	NONE	NONE
NONE	阿斯特拉罕	āsītèlāhǎn	NONE	NONE	Астрахань-	NONE	NONE
NONE	克拉斯诺耶	kèlāsīnuòyē	NONE	NONE	Красное-	NONE	NONE
NONE	比留奇	bǐliúqí	NONE	NONE	Бирюч-	NONE	NONE
NONE	索斯诺夫卡	suǒsīnuòfūkǎ	NONE	NONE	Сосновка-	NONE	NONE
NONE	赖奇欣斯克	làiqíxīnsīkè	NONE	NONE	Райчихинск-	NONE	NONE
NONE	安东诺夫卡	āndōngnuòfūkǎ	NONE	NONE	Антоновка-	NONE	NONE
NONE	梅德韦杰夫	méidéwéijiéfū	NONE	NONE	Медведев-	NONE	NONE
NONE	奥利亚	àolìyà	NONE	NONE	Оля-	NONE	NONE
NONE	扎里亚	zālǐyà	NONE	NONE	Заря-	NONE	NONE
NONE	罗姆内	luómǔnèi	NONE	NONE	Ромны-	NONE	NONE
NONE	米尔内	mǐ’ěrnèi	NONE	NONE	Мирное	NONE	NONE
NONE	伊萨	yīsà	NONE	NONE	Иса-	NONE	NONE
NONE	艾达尔	yìdáěr	NONE	NONE	Айдар-	NONE	NONE
NONE	安东诺夫	āndōngnuòfū	NONE	NONE	Антонов-	NONE	NONE
NONE	阿克赛	ākèsài	NONE	NONE	Аксай-	NONE	NONE
NONE	阿穆尔泽特	āmù’ěrzétè	NONE	NONE	Амурзет-	NONE	NONE
NONE	伊利亚	yīlìyà	NONE	NONE	Илия	NONE	NONE
NONE	沃尔库塔	wò’ěrkùtǎ	NONE	NONE	Воркута	NONE	NONE
NONE	乌恰	wūqià	NONE	NONE	Уча	NONE	NONE
NONE	卢扎	lúzā	NONE	NONE	Лужа	NONE	NONE
NONE	察察	cháchá	NONE	NONE	Цаца-	NONE	NONE
NONE	苏维埃茨基	sūwéi’āicíjī	NONE	NONE	Советский-	NONE	NONE
NONE	波波夫	bōbōfū	NONE	NONE	Попов-	NONE	NONE
NONE	沙金	shājìn	NONE	NONE	Шакин-	NONE	NONE
NONE	科穆纳尔	kēmùnà’ěr	NONE	NONE	Коммунар-	NONE	NONE
NONE	卡诺	kǎnuò	NONE	NONE	Кано-	NONE	NONE
NONE	彼得罗夫斯基	bǐdéluófūsījī	NONE	NONE	Петровский-	NONE	NONE
NONE	巴巴耶沃	bābāyēwò	NONE	NONE	Бабаево-	NONE	NONE
NONE	伏尔加格勒	fú’ěrjiāgēlè	NONE	NONE	Волгоград	NONE	NONE
NONE	乔伊斯	qiáoyīsī	NONE	NONE	Чойский	NONE	NONE
NONE	索宾卡	suǒbīnkǎ	NONE	NONE	Собинка-	NONE	NONE
