hanzi_trad	hanzi_simp	pinyin	transcr	transc_rus	rus_translation	note	chinese_translation
NONE	大乌斯秋格	dàwūsīqiūgé	NONE	NONE	Великий Устюг	NONE	NONE
NONE	沃洛格达	wòluògēdá	NONE	NONE	Вологда	NONE	NONE
NONE	尤扎	yóuzhā	NONE	NONE	Южа-	NONE	NONE
NONE	戈罗杰茨	gēluójiécí	NONE	NONE	Городец-	NONE	NONE
NONE	姆格林	mǔgélín	NONE	NONE	Мглин-	NONE	NONE
NONE	波切普	bōqiēpǔ	NONE	NONE	Почеп-	NONE	NONE
NONE	科洛姆纳	kēluòmǔnà	NONE	NONE	Коломна-	NONE	NONE
NONE	纳里马诺夫	nàlǐmǎnuòfū	NONE	NONE	Нариманов-	NONE	NONE
NONE	帕拉索夫卡	pàlāsuǒfūkǎ	NONE	NONE	Палласовка-	NONE	NONE
NONE	斯科沃罗季诺	sīkēwòluōjìnuò	NONE	NONE	Сковородино-	NONE	NONE
NONE	舍别基诺	shěbiéjīnuò	NONE	NONE	Шебекино-	NONE	NONE
NONE	基涅什马	jīnièshímǎ	NONE	NONE	Кинешма-	NONE	NONE
NONE	维丘加	wéiqiūjiā	NONE	NONE	Вичуга-	NONE	NONE
NONE	奥斯特罗戈日斯克	àosītèluógērìsīkè	NONE	NONE	Острогожск-	NONE	NONE
NONE	莫戈恰	mògēqià	NONE	NONE	Могоча-	NONE	NONE
NONE	乌留平斯克	wūliúpíngsīkè	NONE	NONE	Урюпинск-	NONE	NONE
NONE	谢别日	xièbiérì	NONE	NONE	Себеж-	NONE	NONE
NONE	利瓦	lìwǎ	NONE	NONE	Лива	NONE	NONE
NONE	切巴尔库尔	qiēbā’ěrkù’ěr	NONE	NONE	Чебаркуль	NONE	NONE
NONE	伊夫杰利	yīfūjiélì	NONE	NONE	Ивдель	NONE	NONE
NONE	乌斯曼	wūsīmàn	NONE	NONE	Усмань	NONE	NONE
NONE	阿拉	ālā	NONE	NONE	Ала	NONE	NONE
NONE	萨基	sà 	NONE	NONE	Саки-	NONE	NONE
NONE	罗索希	luósuoxī	NONE	NONE	Россошь-	NONE	NONE
NONE	尤里耶韦茨	yóulǐyēwéicí	NONE	NONE	Юрьевец-	NONE	NONE
NONE	布拉茨克	bùlācíkè	NONE	NONE	Братск-	NONE	NONE
NONE	布图尔利诺夫卡	bùtú’ěrlìnuòfūkǎ	NONE	NONE	Бутурлиновка-	NONE	NONE
NONE	博代博	bódàibó	NONE	NONE	Бодайбо-	NONE	NONE
NONE	富尔马诺夫	fù’ěrmǎnuòfū	NONE	NONE	Фурманов-	NONE	NONE
NONE	乌斯季伊利姆斯克	wūsījì yīlìmǔsīkè	NONE	NONE	Усть Илимск-	NONE	NONE
NONE	安纳	ānnà	NONE	NONE	Аннино-	NONE	NONE
NONE	阿尔扎马斯	ā’ěrzāmǎsī	NONE	NONE	Арзамас-	NONE	NONE
NONE	苏兹达尔	sūzīdá’ěr	NONE	NONE	Суздаль-	NONE	NONE
NONE	苏多格达	sūduōgédá	NONE	NONE	Судогда-	NONE	NONE
NONE	谢列霍夫	xièlièhuòfū	NONE	NONE	Шелехов-	NONE	NONE
NONE	济马	jìmǎ	NONE	NONE	Зима-	NONE	NONE
NONE	古西赫鲁斯塔利内	gǔxīhèlǔsītǎlìnèi	NONE	NONE	Гусь Хрустальный	NONE	NONE
NONE	乌斯季库特	wūsījìkùtè	NONE	NONE	Усть Кут	NONE	NONE
NONE	卡梅什科沃	kǎméishíkēwò	NONE	NONE	Камешково-	NONE	NONE
NONE	科托沃	kētuōwò	NONE	NONE	Котово-	NONE	NONE
NONE	帕列赫	pàlièhè	NONE	NONE	Палех-	NONE	NONE
NONE	捷伊科沃	jiéyīkēwò	NONE	NONE	Тейково-	NONE	NONE
NONE	舒亚	shūyà	NONE	NONE	Шуя-	NONE	NONE
NONE	巴巴耶沃	bābāyēwò	NONE	NONE	Бабаево-	NONE	NONE
NONE	托季马	tuōjìmǎ	NONE	NONE	Тотьма-	NONE	NONE
NONE	戈罗霍韦茨	gēluóhuòwéicí	NONE	NONE	Гороховец-	NONE	NONE
NONE	克拉斯诺佩列科普斯克	kèlāsīnuò pèilièkēpǔsīkè	NONE	NONE	Красноперекопск-	NONE	NONE
NONE	辛菲罗波尔	xīnfēiluóbō’ěr	NONE	NONE	Симферополь-	NONE	NONE
NONE	日尔诺夫斯克	rì’ěrnuòfūsīkè	NONE	NONE	Жирновск-	NONE	NONE
NONE	波多利斯克	bōduōlìsīkè	NONE	NONE	Подольск-	NONE	NONE
NONE	克林	kèlín	NONE	NONE	Клин-	NONE	NONE
NONE	布拉戈维申斯克	bùlāgēwéishēnsīkè	NONE	NONE	Благовещенск-	NONE	NONE
NONE	戈罗季谢	gēluójìxiè	NONE	NONE	Городище-	NONE	NONE
NONE	列宁斯克	lièníngsīkè	NONE	NONE	Ленинск-	NONE	NONE
NONE	卡希拉	kǎxīlā	NONE	NONE	Кашира	NONE	NONE
NONE	伊斯特拉	yīsītèlā	NONE	NONE	Истра-	NONE	NONE
NONE	卡缅卡	kǎmiǎnkǎ	NONE	NONE	Каменка-	NONE	NONE
NONE	佳季科沃	jiājìkēwò	NONE	NONE	Дятьково-	NONE	NONE
NONE	比罗比詹	bǐluóbǐzhān	NONE	NONE	Биробиджан-	NONE	NONE
NONE	博布罗夫	bóbùluófū	NONE	NONE	Бобров-	NONE	NONE
NONE	科尔萨科夫	kē’ěrsàkēfū	NONE	NONE	Корсаков	NONE	NONE
NONE	占科伊	zhànkēyī	NONE	NONE	Джанкой-	NONE	NONE
NONE	科特拉斯	kētèlāsī	NONE	NONE	Котлас-	NONE	NONE
NONE	索科尔	suǒkē’ěr	NONE	NONE	Сокол-	NONE	NONE
NONE	奥萨	àosà	NONE	NONE	Оса-	NONE	NONE
NONE	巴甫洛夫斯克	bāfǔluòfūsīkè	NONE	NONE	Павловск-	NONE	NONE
NONE	茹科夫卡	rúkēfūkǎ	NONE	NONE	Жуковка-	NONE	NONE
NONE	乌斯秋日纳	wūsīqiūrìnà	NONE	NONE	Устюжина-	NONE	NONE
NONE	埃尔季利	āi’ěrjìlì	NONE	NONE	Эртиль-	NONE	NONE
NONE	布良斯克	bùliángsīkè	NONE	NONE	Брянск-	NONE	NONE
NONE	新济布科夫	xīnjìbùkēfū	NONE	NONE	Новозыбков-	NONE	NONE
NONE	列宁	lièníng	NONE	NONE	Ленин-	NONE	NONE
NONE	阿拉尔	ālāěr	NONE	NONE	Алар-	NONE	NONE
NONE	乌涅恰	wūnièqià	NONE	NONE	Унеча-	NONE	NONE
NONE	奥布卢奇耶	àobùlúqíyē	NONE	NONE	Облучье-	NONE	NONE
NONE	伊希姆拜	yīxīmǔbài	NONE	NONE	Ишимбай-	NONE	NONE
NONE	乌索利耶	wūsuǒlìyé	NONE	NONE	Усолье-	NONE	NONE
NONE	尼科利斯克	níkēlìsīkè	NONE	NONE	Никольск-	NONE	NONE
NONE	尼古拉耶夫斯克	nígǔlāyēfūsīkè	NONE	NONE	Николаевск-	NONE	NONE
NONE	新霍皮奥尔斯克	xīnhuòpí’ào’ěrsīkè	NONE	NONE	Новохопёрск-	NONE	NONE
NONE	莫扎伊斯克	mòzhāyīsīkè	NONE	NONE	Можайск-	NONE	NONE
NONE	扎沃尔日斯克	zāwò’ěrrìsīkè	NONE	NONE	Заволжск-	NONE	NONE
NONE	普里沃尔日斯克	pǔlǐwò’ěrrìsīkè	NONE	NONE	Приволжск-	NONE	NONE
NONE	鲁德尼亚	lǔdéníyà	NONE	NONE	Рудня-	NONE	NONE
NONE	基洛夫斯克	jīluòfūsīkè	NONE	NONE	Кировск-	NONE	NONE
NONE	托罗佩茨	tuōluōpèicí	NONE	NONE	Торопец-	NONE	NONE
NONE	杜博夫卡	dùbófūkǎ	NONE	NONE	Дубовка-	NONE	NONE
NONE	奥洛涅茨	àoluòniècí	NONE	NONE	Олонец-	NONE	NONE
NONE	列斯诺伊	lièsīnuòyī	NONE	NONE	Лесной	NONE	NONE
NONE	瓦尼诺	wǎnínuò	NONE	NONE	Ванино	NONE	NONE
NONE	利斯特维扬卡	lìsītèwéiyángkǎ	NONE	NONE	Листвянка	NONE	NONE
NONE	普列谢茨克	pǔlièxiècíkè	NONE	NONE	Плесецк	NONE	NONE
NONE	鄂霍次克	àohuòcìkè	NONE	NONE	Охотск	NONE	NONE
NONE	弗拉基米尔·弗拉基米罗维奇·普京	fúlājīmǐ’ěr fúlājīmǐluówéiqí pǔjīng	NONE	NONE	Владимир Владимирович Путин	NONE	NONE
NONE	基里尔	jīlǐ’ěr	NONE	NONE	Кирилл	NONE	NONE
NONE	科尔尼洛夫	kē’ěrníluòfū	NONE	NONE	Корниловская	NONE	NONE
NONE	克里莫夫	kèlǐmòfū	NONE	NONE	Климов	NONE	NONE
NONE	佩拉格娅	pèilāgéyà	NONE	NONE	Пелагея	NONE	NONE
NONE	叶夫根尼·叶夫图申科	yèfūgēnní yèfūtúshēnkē	NONE	NONE	Евгений Евтушенко	NONE	NONE
NONE	瓦列里娅	wǎlièlǐyà	NONE	NONE	Валерия	NONE	NONE
NONE	卡宾	kǎbīn	NONE	NONE	Карпин	NONE	NONE
NONE	娜塔莉	nàtǎlì	NONE	NONE	Натали	NONE	NONE
NONE	伊凡	yīfán	NONE	NONE	Иван	NONE	NONE
NONE	奥克兰	àokèlán	NONE	NONE	Оклан	NONE	NONE
NONE	涅列赫塔	nièlièhètǎ	NONE	NONE	Нерехта	NONE	NONE
NONE	齐赫文	qíhèwén	NONE	NONE	Тихвинский	NONE	NONE
NONE	托卡列夫	tuōkǎlièfū	NONE	NONE	Токарев	NONE	NONE
NONE	斯维拉娜·亚历塞维奇	sīwéilānà yàlìsāiwéiqí	NONE	NONE	Светлана Алексиевич	NONE	NONE
NONE	托尔巴奇克	tuō’ěrbāqíkè	NONE	NONE	Толбачик	NONE	NONE
NONE	列宁	lièníng	NONE	NONE	Ленин	NONE	NONE
NONE	斯大林	sīdàlín	NONE	NONE	Сталин	NONE	NONE
NONE	巴甫洛夫	bāfǔluòfū	NONE	NONE	Павлов	NONE	NONE
NONE	康斯坦丁·乌斯季诺维奇·契尔年科	kāngsītǎndīng wūsījìnuòwéiqí qì’ěrniánkē	NONE	NONE	Константин Устинович Черненко	NONE	NONE
NONE	卜弼德	bǔbìdé	NONE	NONE	Будберг	NONE	NONE
NONE	索斯诺夫卡	suǒsīnuòfūkǎ	NONE	NONE	Сосновка	NONE	NONE
NONE	埃尔季利	āi’ěrjìlì	NONE	NONE	Эртиль	NONE	NONE
NONE	阿列克谢·伊万诺维奇·李可夫	ālièkèxiè yīwànnuòwéiqí lǐkěfū	NONE	NONE	Алексей Иванович Рыков	NONE	NONE
NONE	波列伏依	bōlièfúyī	NONE	NONE	Полевой	NONE	NONE
NONE	苏霍姆林斯基	sūhuòmǔlínsījī	NONE	NONE	Сухомлинский	NONE	NONE
NONE	尼古拉耶夫	nígǔlāyēfū	NONE	NONE	Николаев	NONE	NONE
NONE	克鲁泡特金	kèlǔpàotèjīn	NONE	NONE	Кропоткин	NONE	NONE
NONE	列夫·托尔斯泰	lièfū tuō’ěrsītài	NONE	NONE	Лев Толстой	NONE	NONE
NONE	贝勒	bèilè	NONE	NONE	Бретшнейдер	NONE	NONE
NONE	阿古柏	āgǔbó	NONE	NONE	Якуб	NONE	NONE
NONE	列昂尼德	liè’ángnídé	NONE	NONE	Леонид	NONE	NONE
NONE	韦列夏金	wéilièxiàjīn	NONE	NONE	Верещагин	NONE	NONE
NONE	伊丽莎白·彼得罗芙娜·罗曼诺娃	yīlìshābái bǐdéluófúnà luómànnuòwá	NONE	NONE	Елизавета Петровна Романова	NONE	NONE
NONE	夏伯阳	xiàbóyáng	NONE	NONE	Чапаев	NONE	NONE
NONE	弗拉基米尔	fúlājīmǐ’ěr	NONE	NONE	Владимир	NONE	NONE
NONE	龙果夫	lóngguǒfū	NONE	NONE	Драгунов	NONE	NONE
NONE	莫戈恰	mògēqià	NONE	NONE	Могоча	NONE	NONE
NONE	厄尔布鲁士	è’ěrbùlǔshì	NONE	NONE	Эльбрус	NONE	NONE
NONE	狄克	díkè	NONE	NONE	Дыхтау	NONE	NONE
NONE	克尔	kè’ěr	NONE	NONE	Келля	NONE	NONE
NONE	波格拉尼奇内	bōgélāníqínèi	NONE	NONE	Пограничный	NONE	NONE
NONE	斯米尔诺夫	sīmǐ’ěrnuòfū	NONE	NONE	Смирнова	NONE	NONE
NONE	戈梅利	gēméilì	NONE	NONE	Гомель	NONE	NONE
NONE	奥尔沙	ào’ěrshā	NONE	NONE	Орша	NONE	NONE
NONE	科	kē	NONE	NONE	Ко	NONE	NONE
NONE	罗曼诺夫	luómànnuòfū	NONE	NONE	Романовка	NONE	NONE
NONE	莫吉廖夫	mòjíliáofū	NONE	NONE	Могилёв	NONE	NONE
NONE	达夫列卡诺沃	dáfūlièkǎnuòwò	NONE	NONE	Давлеканово	NONE	NONE
NONE	普斯科夫	pǔsīkēfū	NONE	NONE	Псков	NONE	NONE
NONE	明斯克	míngsīkè	NONE	NONE	Минск	NONE	NONE
NONE	斯摩棱斯克	sīmóléngsīkè	NONE	NONE	Смоленск	NONE	NONE
NONE	涅曼	nièmàn	NONE	NONE	Неман	NONE	NONE
NONE	波罗的斯克	bōluódīsīkè	NONE	NONE	Балтийск	NONE	NONE
NONE	古谢夫	gǔxièfū	NONE	NONE	Гусев	NONE	NONE
NONE	斯韦特雷	sīwéitèléi	NONE	NONE	Светлый	NONE	NONE
NONE	秋明	qiūmíng	NONE	NONE	Тюмень	NONE	NONE
NONE	巴尔瑙尔	bā’ěrnǎo’ěr	NONE	NONE	Барнаул	NONE	NONE
NONE	克麦罗沃	kèmàiluówò	NONE	NONE	Кемерово	NONE	NONE
NONE	克孜勒	kèzīlè	NONE	NONE	Кызыл	NONE	NONE
NONE	萨列哈尔德	sàlièhā’ěrdé	NONE	NONE	Салехард	NONE	NONE
NONE	雅库茨克	yǎkùcíkè	NONE	NONE	Якутск	NONE	NONE
NONE	乌兰乌德	wūlánwūdé	NONE	NONE	Улан Удэ	NONE	NONE
NONE	别列别伊	biélièbiéyī	NONE	NONE	Белебей	NONE	NONE
NONE	别廖夫	biéliáofū	NONE	NONE	Белёв	NONE	NONE
NONE	野猪河	yězhūhé	NONE	NONE	Тетюхе	NONE	NONE
NONE	达利涅戈尔斯克	dálìniègē’ěrsīkè	NONE	NONE	Дальнегорск	NONE	NONE
NONE	加特契纳	jiātèqìnà	NONE	NONE	Гатчина	NONE	NONE
NONE	别林斯基	biélínsījī	NONE	NONE	Белинский	NONE	NONE
NONE	别洛沃	biéluòwò	NONE	NONE	Белово	NONE	NONE
NONE	别洛戈尔斯克	biéluògēěrsīkè	NONE	NONE	Белогорск	NONE	NONE
NONE	别洛焦尔斯克	biéluòjiāo’ěrsīkè	NONE	NONE	Белозерск	NONE	NONE
NONE	基谢廖夫斯克	jīxièliáofūsīkè	NONE	NONE	Киселёвск	NONE	NONE
NONE	克利莫夫斯克	kèlìmòfūsīkè	NONE	NONE	Климовск	NONE	NONE
NONE	塞瓦斯托波尔	sèwǎsītuōbō’ěr	NONE	NONE	Севастополь	NONE	NONE
NONE	列索扎沃茨克	lièsuǒzāwòcíkè	NONE	NONE	Лесозаводск	NONE	NONE
NONE	科兹洛夫卡	kēzīluòfūkǎ	NONE	NONE	Козловка	NONE	NONE
NONE	基里希	jīlǐxī	NONE	NONE	Кириши	NONE	NONE
NONE	别洛列茨克	biéluòliècíkè	NONE	NONE	Белорецк	NONE	NONE
NONE	别尔茨克	bié’ěrcíkè	NONE	NONE	Бердск	NONE	NONE
NONE	别列兹尼基	biélièzīníjì	NONE	NONE	Березники	NONE	NONE
NONE	克尼亚吉尼诺	kèníyàjínínuò	NONE	NONE	Княгинино	NONE	NONE
NONE	科夫多尔	kēfūduō’ěr	NONE	NONE	Ковдор	NONE	NONE
NONE	科维尔基诺	kēwéi’ěrjīnuò	NONE	NONE	Ковылкино	NONE	NONE
NONE	别廖佐夫斯基	biéliáozuǒfūsījī	NONE	NONE	Берёзовский	NONE	NONE
NONE	别斯兰	biésīlán	NONE	NONE	Беслан	NONE	NONE
NONE	比罗比詹	bǐluóbǐzhān	NONE	NONE	Биробиджан	NONE	NONE
NONE	苏达克	sūdákè	NONE	NONE	Судак	NONE	NONE
NONE	科加雷姆	kējiāléimǔ	NONE	NONE	Когалым	NONE	NONE
NONE	科金斯克	kējīnsīkè	NONE	NONE	Кодинск	NONE	NONE
NONE	科泽利斯克	kēzélìsīkè	NONE	NONE	Козельск	NONE	NONE
NONE	博尔加尔	bó’ěrjiā’ěr	NONE	NONE	Болгар	NONE	NONE
NONE	博洛戈耶	bóluògēyē	NONE	NONE	Бологое	NONE	NONE
NONE	博洛特诺耶	bóluòtènuòyē	NONE	NONE	Болотное	NONE	NONE
NONE	柳比姆	liǔbǐmǔ	NONE	NONE	Любим	NONE	NONE
NONE	列宁诺戈尔斯克	lièníngnuògēěrsīkè	NONE	NONE	Лениногорск	NONE	NONE
NONE	列宁斯克	lièníngsīkè	NONE	NONE	Ленинск	NONE	NONE
NONE	比留辛斯克	bǐliúxīnsīkè	NONE	NONE	Бирюсинск	NONE	NONE
NONE	比利比诺	bǐlìbǐnuò	NONE	NONE	Билибино	NONE	NONE
NONE	比尔斯克	bǐ’ěrsīkè	NONE	NONE	Бирск	NONE	NONE
NONE	博古恰尔	bógǔqià’ěr	NONE	NONE	Богучар	NONE	NONE
NONE	利库斯拉夫尔	lìkùsīlāfūěr	NONE	NONE	Лихославль	NONE	NONE
NONE	洛布尼亚	luòbùníyà	NONE	NONE	Лобня	NONE	NONE
NONE	连斯克	liánsīkè	NONE	NONE	Ленск	NONE	NONE
NONE	莱蒙托夫	láimēngtuōfū	NONE	NONE	Лермонтов	NONE	NONE
NONE	伊万哥罗德	yīwàngēluódé	NONE	NONE	Ивангород	NONE	NONE
NONE	卡缅诺戈尔斯克	kǎmiǎnnuògē’ěrsīkè	NONE	NONE	Каменногорск	NONE	NONE
NONE	孔德罗沃	kǒngdéluówò	NONE	NONE	Кондрово	NONE	NONE
NONE	康斯坦丁诺夫斯克	kāngsītǎndīngnuòfūsīkè	NONE	NONE	Константиновск	NONE	NONE
NONE	利夫内	lìfūnèi	NONE	NONE	Ливны	NONE	NONE
NONE	布拉戈达尔内	bùlāgēdáěrnèi	NONE	NONE	Благодарный	NONE	NONE
NONE	博布罗夫	bóbùluófū	NONE	NONE	Бобров	NONE	NONE
NONE	波格丹诺维奇	bōgēdānnuòwéiqí	NONE	NONE	Богданович	NONE	NONE
NONE	科纳科沃	kēnàkēwò	NONE	NONE	Конаково	NONE	NONE
NONE	孔多波加	kǒngduōbōjiā	NONE	NONE	Кондопога	NONE	NONE
NONE	马加丹	mǎjiādān	NONE	NONE	Магадан	NONE	NONE
NONE	比留奇	bǐliúqí	NONE	NONE	Бирюч	NONE	NONE
NONE	布拉戈维申斯克	bùlāgēwéishēnsīkè	NONE	NONE	Благовещенск	NONE	NONE
NONE	利基诺-杜廖沃	lìjīnuò dùliáowò	NONE	NONE	Ликино Дулёво	NONE	NONE
NONE	利普基	lìpǔjī	NONE	NONE	Липки	NONE	NONE
NONE	利斯基	lìsījī	NONE	NONE	Лиски	NONE	NONE
NONE	别洛亚尔斯克	biéluòyà’ěrsīkè	NONE	NONE	Белоярск-	NONE	NONE
NONE	科尔萨科夫	kē’ěrsàkēfū	NONE	NONE	Корсаков	NONE	NONE
NONE	科里亚日马	kēlǐyàrìmǎ	NONE	NONE	Коряжма	NONE	NONE
NONE	科捷利尼奇	kējiélìníqí	NONE	NONE	Котельнич	NONE	NONE
NONE	科特拉斯	kētèlāsī	NONE	NONE	Котлас	NONE	NONE
NONE	科托沃	kētuōwò	NONE	NONE	Котово	NONE	NONE
NONE	科托夫斯克	kētuōfūsīkè	NONE	NONE	Котовск	NONE	NONE
NONE	科赫马	kēhèmǎ	NONE	NONE	Кохма	NONE	NONE
NONE	洛西诺-彼得罗夫斯基	luòxīnuò bǐdéluófūsījī	NONE	NONE	Лосино Петровский	NONE	NONE
NONE	卢霍维齐	lúhuòwéiqí	NONE	NONE	Луховицы	NONE	NONE
NONE	雷斯科沃	léisīkēwò	NONE	NONE	Лысково	NONE	NONE
NONE	博戈罗季茨克	bógēluójìcíkè	NONE	NONE	Богородицк	NONE	NONE
NONE	博戈罗茨克	bógēluócíkè	NONE	NONE	Богородск	NONE	NONE
NONE	科洛格里夫	kēluògélǐfū	NONE	NONE	Кологрив	NONE	NONE
NONE	波戈托尔	bōgētuō’ěr	NONE	NONE	Боготол	NONE	NONE
NONE	乌拉尔地区卡缅斯克	wūlāěr dìqū kǎmiǎnsīkè	NONE	NONE	Каменск Уральский	NONE	NONE
NONE	马尔梅日	mǎ’ěrméirì	NONE	NONE	Малмыж	NONE	NONE
NONE	小阿尔汉格尔斯克	xiǎoāěrhàngéěrsīkè	NONE	NONE	Малоархангельск	NONE	NONE
NONE	小雅罗斯拉夫韦茨	xiǎoyǎluósīlāfūwéicí	NONE	NONE	Малоярославец	NONE	NONE
NONE	科尔基诺	kē’ěrjīnuò	NONE	NONE	Коркино	NONE	NONE
NONE	科尔帕舍沃	kē’ěrpàshèwò	NONE	NONE	Колпашево	NONE	NONE
NONE	库尔干	kùěrgān	NONE	NONE	Курган	NONE	NONE
NONE	维堡	wéibǎo	NONE	NONE	Выборг	NONE	NONE
NONE	新西伯利亚	xīnxībólìyà	NONE	NONE	Новосибирск	NONE	NONE
NONE	科拉布利诺	kēlābùlì’nuò	NONE	NONE	Кораблино	NONE	NONE
NONE	顿涅茨克	dùnniècíkè	NONE	NONE	Донецк	NONE	NONE
NONE	科斯捷列沃	kēsījiélièwò	NONE	NONE	Костерёво	NONE	NONE
NONE	大乌斯秋格	dà wūsīqiūgé	NONE	NONE	Великий Устюг	NONE	NONE
NONE	尼科尔斯科耶	níkē’ěrsīkēyé	NONE	NONE	Никольское	NONE	NONE
NONE	新拉多加	xīn lāduōjiā	NONE	NONE	Новая Ладога	NONE	NONE
NONE	谢米卢基	xièmǐlújī	NONE	NONE	Семилуки	NONE	NONE
NONE	乌留平斯克	wūliúpíngsīkè	NONE	NONE	Урюпинск	NONE	NONE
NONE	切尔努什卡	qiēěrnǔshíkǎ	NONE	NONE	Чернушка	NONE	NONE
NONE	红苏林	hóng sūlín	NONE	NONE	Красный Сулин	NONE	NONE
NONE	红霍尔姆	hóng huò’ěrmǔ	NONE	NONE	Красный Холм	NONE	NONE
NONE	波德波罗日耶	bōdébōluórìyē	NONE	NONE	Подпорожье	NONE	NONE
NONE	斯韦托戈尔斯克	sīwéituōgē’ěrsīkè	NONE	NONE	Светогорск	NONE	NONE
NONE	普里奥焦尔斯克	pǔlǐ’àojiāo’ěrsīkè	NONE	NONE	Приозерск	NONE	NONE
NONE	金吉谢普	jīnjíxièpǔ	NONE	NONE	Кингисепп	NONE	NONE
NONE	布伊纳克斯克	bùyīnàkèsīkè	NONE	NONE	Буйнакск	NONE	NONE
NONE	布图尔利诺夫卡	bùtú’ěrlìnuòfūkǎ	NONE	NONE	Бутурлиновка	NONE	NONE
NONE	科罗廖夫	kēluóliáofū	NONE	NONE	Королёв	NONE	NONE
NONE	科利丘吉诺	kēlìqiūjínuò	NONE	NONE	Кольчугино	NONE	NONE
NONE	马马德什	mǎmǎdéshí	NONE	NONE	Мамадыш	NONE	NONE
NONE	马莫诺夫	mǎmònuòfū	NONE	NONE	Мамоново	NONE	NONE
NONE	杰格佳尔斯克	jiégéjiāěrsīkè	NONE	NONE	Дегтярск	NONE	NONE
NONE	库夫希诺沃	kùfūxīnuòwò	NONE	NONE	Кувшиново	NONE	NONE
NONE	库德姆卡尔	kùdémǔkǎ’ěr	NONE	NONE	Кудымкар	NONE	NONE
NONE	库万德克	kùwàndékè	NONE	NONE	Кувандык	NONE	NONE
NONE	弗谢沃洛日斯克	fúxièwòluòrìsīkè	NONE	NONE	Всеволожск	NONE	NONE
NONE	维索茨克	wéisuǒcíkè	NONE	NONE	Высоцк	NONE	NONE
NONE	雷特卡里诺	léitèkǎlǐnuò	NONE	NONE	Лыткарино	NONE	NONE
NONE	布拉茨克	bùlācíkè	NONE	NONE	Братск	NONE	NONE
NONE	基洛夫斯克	jīluòfūsīkè	NONE	NONE	Кировск	NONE	NONE
NONE	柳班	liǔbān	NONE	NONE	Любань	NONE	NONE
NONE	普里莫尔斯克	pǔlǐmò’ěrsīkè	NONE	NONE	Приморск	NONE	NONE
NONE	谢尔托洛夫	xiè’ěrtuōluòfū	NONE	NONE	Сертолово	NONE	NONE
NONE	米尔内	mǐ’ěrnèi	NONE	NONE	Мирный	NONE	NONE
NONE	姆格林	mǔgélín	NONE	NONE	Мглин	NONE	NONE
NONE	梅吉翁	méijíwēng	NONE	NONE	Мегион	NONE	NONE
NONE	布古鲁斯兰	bùgǔlǔsīlán	NONE	NONE	Бугуруслан	NONE	NONE
NONE	下诺夫哥罗德	xià nuòfūgēluódé	NONE	NONE	Нижний Новгород	NONE	NONE
NONE	库皮诺	kùpínuò	NONE	NONE	Купино	NONE	NONE
NONE	库里尔斯克	kùlǐěrsīkè	NONE	NONE	Курильск	NONE	NONE
NONE	库尔洛沃	kù’ěrluòwò	NONE	NONE	Курлово	NONE	NONE
NONE	梅斯基	méisījī	NONE	NONE	Мыски	NONE	NONE
NONE	小维舍拉	xiǎo wéishèlā	NONE	NONE	Малая Вишера	NONE	NONE
NONE	马尔戈别克	mǎ’ěrgēbiékè	NONE	NONE	Малгобек	NONE	NONE
NONE	克拉斯诺维舍尔斯克	kèlāsīnuòwéishèěrsīkè	NONE	NONE	Красновишерск	NONE	NONE
NONE	柳季诺沃	liǔjìnuòwò	NONE	NONE	Людиново	NONE	NONE
NONE	克斯托沃	kèsītuōwò	NONE	NONE	Кстово	NONE	NONE
NONE	库宾卡	kùbīnkǎ	NONE	NONE	Кубинка	NONE	NONE
NONE	斯兰齐	sīlánqí	NONE	NONE	Сланцы	NONE	NONE
NONE	博洛霍沃	bóluòhuòwò	NONE	NONE	Болохово	NONE	NONE
NONE	梅日戈尔耶	méirìgē’ěryē	NONE	NONE	Межгорье	NONE	NONE
NONE	巴赫奇萨赖	bāhèqísàlài	NONE	NONE	Бахчисарай	NONE	NONE
NONE	梅德韦日耶戈尔斯克	méidéwéirìyēgē’ěrsīkè	NONE	NONE	Медвежьегорск	NONE	NONE
NONE	克拉斯诺斯洛博茨克	kèlāsīnuòsīluòbócíkè	NONE	NONE	Краснослободск	NONE	NONE
NONE	马林斯基镇	mǎlínsījī zhèn	NONE	NONE	Мариинский Посад	NONE	NONE
NONE	布琼诺夫斯克	bùqióngnuòfūsīkè	NONE	NONE	Будённовск	NONE	NONE
NONE	布因斯克	bùyīnsīkè	NONE	NONE	Буинск	NONE	NONE
NONE	克拉斯诺图林斯克	kèlāsīnuòtúlínsīkè	NONE	NONE	Краснотурьинск	NONE	NONE
NONE	别洛列琴斯克	biéluòlièqínsīkè	NONE	NONE	Белореченск	NONE	NONE
NONE	克什特姆	kèshítèmǔ	NONE	NONE	Кыштым	NONE	NONE
NONE	沃洛索沃	wòluòsuǒwò	NONE	NONE	Волосово	NONE	NONE
NONE	莫扎伊斯克	mòzhāyīsīkè	NONE	NONE	Можайск	NONE	NONE
NONE	良托尔	liángtuō’ěr	NONE	NONE	Лянтор	NONE	NONE
NONE	米尼亚尔	mǐníyà’ěr	NONE	NONE	Миньяр	NONE	NONE
NONE	米哈伊洛夫	mǐhāyīluòfū	NONE	NONE	Михайлов	NONE	NONE
NONE	季赫温	jìhèwēn	NONE	NONE	Тихвин	NONE	NONE
NONE	阿宾斯克	ābīnsīkè	NONE	NONE	Абинск	NONE	NONE
