hanzi_trad	hanzi_simp	pinyin	transcr	transc_rus	rus_translation	note	chinese_translation
NONE	普列汉诺夫		NONE	NONE	Плеханов	Плеханов Георгий Валентинович 1856-1918	NONE
NONE	普利施别也夫		NONE	NONE	Пришибеев	герой чехова Унтер Пришибеев	NONE
NONE	齐特·齐梯奇		NONE	NONE	Тит Титыч	герой Островского "Тяжелые дни"	NONE
NONE	契诃夫		NONE	NONE	Чехов	Чахов, Антон Павлович	NONE
NONE	恰克图		NONE	NONE	Кяхта	помечено как из нем.	NONE
NONE	萨仁		NONE	NONE	сажень		NONE
NONE	萨哈林		NONE	NONE	Сахалин		NONE
NONE	沙皇		NONE	NONE	царь		NONE
NONE	扎尔		NONE	NONE	царь		NONE
NONE	萨宁		NONE	NONE	Санин	Герой романа М. Арцыбашева	NONE
NONE	沙油子		NONE	NONE	союз		NONE
NONE	什米茨		NONE	NONE	шмиц	??? Мера длины?	NONE
NONE	斯托雷平		NONE	NONE	Столыпин	Петр Аркадьевич Столыпин, 1862-1911	NONE
NONE	斯巴达克派		NONE	NONE	спартаковцы	Союз Спартака, марксистская организация в Германии	NONE
NONE	斯大林格勒		NONE	NONE	Сталинград		NONE
NONE	斯塔诺夫山脉		NONE	NONE	становой хребет		NONE
NONE	苏维埃		NONE	NONE	совет	тип организации	NONE
NONE	苏哈列夫卡		NONE	NONE	Сухаревка	Сухаревская площадь	NONE
NONE	绥拉菲摩维支		NONE	NONE	Серафимович	Александр Серафимович 1863-1949	NONE
NONE	梭罗古勃		NONE	NONE	Сологуб	Федор Кузьмич Сологуб 1863-1927	NONE
NONE	塔斯社		NONE	NONE	ТАСС	Телеграфное агнтство советского союза	NONE
NONE	套中人		NONE	NONE	Человек в футляре	повесть	NONE
NONE	特维尔		NONE	NONE	Тверь		NONE
NONE	特列波夫		NONE	NONE	Трепов	Д.Ф. Трепов (по-видимому, все же Ф.Ф. Трепов, гранодачальник СПб)	NONE
NONE	屠格涅夫		NONE	NONE	Тургенев	Тургенев Иван Сергеевич 1818-1883	NONE
NONE	土库曼		NONE	NONE	Туркменистан	вообще-то из туркменского	NONE
NONE	托尔斯泰		NONE	NONE	Толстой	Лев Николаевич Толстой	NONE
NONE	托克马克		NONE	NONE	Токмак		NONE
NONE	托落茨基		NONE	NONE	Троцкий	Троцкий Лев Давидович	NONE
NONE	陀思妥耶夫斯基		NONE	NONE	Достоевский	ФМ Достоевский	NONE
NONE	乌克兰		NONE	NONE	Украина		NONE
NONE	乌拉尔		NONE	NONE	урал	вид ткани?..	NONE
NONE	乌略诺夫		NONE	NONE	Ульянов	альтернатива: 乌里扬诺夫	NONE
NONE	西伯利亚		NONE	NONE	Сибирь	помечено как из англ.	NONE
NONE	希腊朔日		NONE	NONE	греческих календ		NONE
NONE	习明纳尔		NONE	NONE	семинар		NONE
NONE	鲜卑		NONE	NONE	Сибирь	помечено как из англ.	NONE
NONE	肖洛霍夫		NONE	NONE	Шолохов	Михаил Александрович Шолохов	NONE
NONE	熊的效劳		NONE	NONE	Медвежья услуга	из басни Крылова; Ленин цитировал	NONE
NONE	雄鸡和杜鹃		NONE	NONE	петух и кукушка	из басни Крылова; Ленин цитировал	NONE
NONE	休特古姆		NONE	NONE	Зюдекум	Зюдекум, немецкий социал-демократ. В. И. Ленин в ряде своих работ заклеймил зюдекумовщину, отметив, что "слово "Зюдекум" приобрело нарицательное значение: тип самодовольного, бессовестного оппортуниста и социал-шовиниста"	NONE
NONE	雅克		NONE	NONE	Як	самолет	NONE
NONE	雅尔塔		NONE	NONE	Ялта		NONE
NONE	雅罗斯拉夫		NONE	NONE	Ярослав	речь о Ярославе Мудром	NONE
NONE	雅布落诺威依山脉		NONE	NONE	Яблоновый хребет		NONE
NONE	叶尼塞		NONE	NONE	Енисей		NONE
NONE	伊万努什卡		NONE	NONE	Иванушка	Герой сказок	NONE
NONE	印贴利更追亚		NONE	NONE	интеллигенция		NONE
NONE	犹大什克·果洛夫廖夫		NONE	NONE	Иудушка Головлев	Герой Салтыкова-щедрина	NONE
NONE	卓娅		NONE	NONE	Зоя	Зоя Космодемьянская	NONE
