wiki_id,label_zh,label_ru,country,type
1520895,钱尼,Чаны,http://www.wikidata.org/entity/Q159,lake
1535541,皮亚西诺,Пясино,http://www.wikidata.org/entity/Q159,lake
912150,马科夫斯科埃,Маковское,http://www.wikidata.org/entity/Q159,lake
924858,蓬乔泽罗,Пончозеро,http://www.wikidata.org/entity/Q159,lake
930182,基延格-丘耶利,Киенг-Кюель,http://www.wikidata.org/entity/Q159,lake
952248,洛沃泽罗,Ловозеро,http://www.wikidata.org/entity/Q159,lake
953140,白,Белое,http://www.wikidata.org/entity/Q159,lake
840744,察甘-哈格,Цаган-Хаг,http://www.wikidata.org/entity/Q159,lake
845868,泰梅尔,Таймыр,http://www.wikidata.org/entity/Q159,lake
871303,切科,Чеко,http://www.wikidata.org/entity/Q159,lake
890305,维尔马亚尔维,Вирмаярви,http://www.wikidata.org/entity/Q159,lake
905981,拉本克尔,Лабынкыр,http://www.wikidata.org/entity/Q159,lake
1688208,耶谢伊,Ессей,http://www.wikidata.org/entity/Q159,lake
1576687,亚尼斯,Большое Янисъярви,http://www.wikidata.org/entity/Q159,lake
1587070,小汉泰卡,Малое Хантайское,http://www.wikidata.org/entity/Q159,lake
1600939,梅尔科埃,Мелкое,http://www.wikidata.org/entity/Q159,lake
1617491,列温松-列斯辛加,Левинсон-Лессинга,http://www.wikidata.org/entity/Q159,lake
1634432,季克绍泽罗,Тикшеозеро,http://www.wikidata.org/entity/Q159,lake
1634873,翁多泽罗,Ондозеро,http://www.wikidata.org/entity/Q159,lake
1639247,莫吉利诺耶,Могильное,http://www.wikidata.org/entity/Q159,lake
1646718,下奎托,Нижнее Куйто,http://www.wikidata.org/entity/Q159,lake
1687083,耶诺泽罗,Ёнозеро,http://www.wikidata.org/entity/Q159,lake
1818688,丘赫洛马,Чухломское,http://www.wikidata.org/entity/Q159,lake
1849443,沙尔塔什,Шарташ,http://www.wikidata.org/entity/Q159,lake
1854629,埃基特基,Экитыки,http://www.wikidata.org/entity/Q159,lake
1894057,中库伊托,Среднее Куйто,http://www.wikidata.org/entity/Q159,lake
1894094,上奎托,Верхнее Куйто,http://www.wikidata.org/entity/Q159,lake
1933411,弗亚洛泽罗,Вялозеро,http://www.wikidata.org/entity/Q159,lake
1774501,涅尔皮奇耶,Нерпичье,http://www.wikidata.org/entity/Q159,lake
1781985,列克索泽罗,Лексозеро,http://www.wikidata.org/entity/Q159,lake
1786498,维维,Виви,http://www.wikidata.org/entity/Q159,lake
1786723,克拉斯诺耶,Красное,http://www.wikidata.org/entity/Q159,lake
1799381,拉巴兹,Лабаз,http://www.wikidata.org/entity/Q159,lake
1953988,津-托列伊,Зун-Торей,http://www.wikidata.org/entity/Q159,lake
1959776,丘利希里湖,Кюльхири,http://www.wikidata.org/entity/Q159,lake
1978774,库亚利尼克,Куяльницкий лиман,http://www.wikidata.org/entity/Q212,lake
2015010,阿斯利库利,Асликуль,http://www.wikidata.org/entity/Q159,lake
2026697,图尔莫泽罗,Тулмозеро,http://www.wikidata.org/entity/Q159,lake
2027394,汉斯科耶,Ханское,http://www.wikidata.org/entity/Q159,lake
2031293,佩库利涅伊,Пекульнейское,http://www.wikidata.org/entity/Q159,lake
2034963,卢科夫斯科耶水库,Луковское,http://www.wikidata.org/entity/Q184,lake
2039508,莫托尔,Мотольское,http://www.wikidata.org/entity/Q184,lake
2044195,米亚斯特罗,Мястро,http://www.wikidata.org/entity/Q184,lake
2392979,库古尔卢伊,Кугурлуй,http://www.wikidata.org/entity/Q212,lake
2393582,亚利奇克,Яльчик,http://www.wikidata.org/entity/Q159,lake
2415261,瓦尔代,Валдайское,http://www.wikidata.org/entity/Q159,lake
