label_zh;label_ru;translit
捷尔任斯基;Дзержинский-;jié’ěrrènsījī
捷尔任斯克;Дзержинск-;jié’ěrrènsīkè
杰米多夫;Демидов-;jiémǐduōfū
米尔内;Мирный-;mǐ’ěrnèi
斯莫列维奇;Смолевичи-;sīmòlièwéiqí
普里莫尔斯克;Приморск-;pǔlǐmò’ěrsīkè
哈罗夫斯克;Харовск-;hāluofūsīkè
索斯诺夫卡;Сосновка-;suǒsīnuòfūkǎ
米哈伊洛夫卡;Михайловка-;mǐhāyīluòfūkǎ
特罗伊茨克;Троицк-;tèluóyīcíkè
乌斯曼;Усмань-;wūsīmàn
切列姆霍沃;Черемхово-;qiēlièmǔhuòwò
西伯利亚;Сибирь;xībólìyà
奥特拉德诺耶;Отрадное-;àotèlādénuòyē
帕尼诺;Панино-;pànínuò
普希金诺;Пушкино-;pǔxījīnnuò
切列姆霍沃;Черемхово-;qiēlièmǔhuòwò
列奇察;Речица-;lièqíchá
莫斯科夫斯基;Московский-;mòsīkēfūsījī
罗索希;Россоша-;luósuoxī
基尔扎奇;Киржач;jī’ěrzhāqí
维特;Вить;wéitè
希洛克;Хилок;xīluòkè
鲁扎;Руза;lǔzā
伊尔比特;Ирбит;yī’ěrbǐtè
布拉;Була;bùlā
雷西瓦;Лысьва;léixīwǎ
尼瓦;Нива;níwǎ
赤塔;Чита;chìtǎ
卡尔加特;Каргат;kǎ’ěrjiātè
乌拉;Улла;wūlā
杜布纳;Дубна;dùbùnà
苏达;Судское;sūdá
瑟乔夫卡;Сычёвка-;sèqiáofūkǎ
谢利措;Сельцо-;xièlìcuò
谢米卢基;Семилуки-;xièmǐlújī
斯图皮诺;Ступино-;sītúpínuò
休奇耶;Щучье-;xiūqíyē
胡日尔;Хужир-;húrì’ěr
维捷布斯克;Витебск-;wéijiébùsīkè
格罗杰科沃;Гродеково-;géluójiékēwò
米哈伊洛夫卡;Михайловка-;mǐhāyīluòfūkǎ
阿列克谢耶夫卡;Алексеевка-;ālièkèxièyēfūkǎ
帕尼诺;Панино-;pànínuò
锡安;Сиан-;xī’ān
别列佐夫卡;Березовка-;biélièzuǒfūkǎ
克柳奇;Ключевской;kèliǔqí
阿斯特拉罕;Астрахань-;āsītèlāhǎn
克拉斯诺耶;Красное-;kèlāsīnuòyē
比留奇;Бирюч-;bǐliúqí
索斯诺夫卡;Сосновка-;suǒsīnuòfūkǎ
赖奇欣斯克;Райчихинск-;làiqíxīnsīkè
安东诺夫卡;Антоновка-;āndōngnuòfūkǎ
梅德韦杰夫;Медведев-;méidéwéijiéfū
奥利亚;Оля-;àolìyà
扎里亚;Заря-;zālǐyà
罗姆内;Ромны-;luómǔnèi
米尔内;Мирное;mǐ’ěrnèi
伊萨;Иса-;yīsà
艾达尔;Айдар-;yìdáěr
安东诺夫;Антонов-;āndōngnuòfū
阿克赛;Аксай-;ākèsài
阿穆尔泽特;Амурзет-;āmù’ěrzétè
伊利亚;Илия;yīlìyà
沃尔库塔;Воркута;wò’ěrkùtǎ
乌恰;Уча;wūqià
卢扎;Лужа;lúzā
察察;Цаца-;cháchá
苏维埃茨基;Советский-;sūwéi’āicíjī
波波夫;Попов-;bōbōfū
沙金;Шакин-;shājìn
科穆纳尔;Коммунар-;kēmùnà’ěr
卡诺;Кано-;kǎnuò
彼得罗夫斯基;Петровский-;bǐdéluófūsījī
巴巴耶沃;Бабаево-;bābāyēwò
伏尔加格勒;Волгоград;fú’ěrjiāgēlè
乔伊斯;Чойский;qiáoyīsī
索宾卡;Собинка-;suǒbīnkǎ
德米特罗夫;Дмитров-;démǐtèluófū
别尔哥罗德;Белгород-;biéěrgēluódé
哈拉巴利;Харабали-;hālābālì
苏维埃;Совет;sūwéi’āi 
弗罗洛沃;Фролово-;fúluóluòwò
扎维京斯克;Завитинск-;zāwéijīngsīkè
科罗恰;Короча-;kēluóqià
亚历山德罗夫;Александров-;yàlìshāndéluófū
格赖沃龙;Грайворон-;gélàiwòlóng
卡梅贾克;Камызяк-;kǎméijiǎkè
连斯克;Ленск-;liánsīkè
切列波韦茨;Череповец-;qiēlièbōwéicí
巴赫奇萨赖;Бахчисарай-;bāhèqísàlài
维捷格拉;Вытегра-;wéijiégélā
加夫里洛夫镇;Гаврилов Посад-;jiāfūlǐluòfū zhèn
新奥斯科尔;Новыйй Оскол;xīnàosīkē’ěr
布列亚;Бурея-;bùlièyà
斯柳江卡;Слюдянка-;sīliǔjiāngkǎ
特鲁布切夫斯克;Трубчевск-;tèlǔbùqièfūsīkè
谢夫斯克;Севск-;xièfūsīkè
米尔内;Мирный-;mǐ’ěrnèi
契诃夫;Чехов-;qìhēfū
腾达;Тында-;téngdá
阿赫图宾斯克;Ахтубинск-;āhètúbīnsīkè
基廉斯克;Киренский;jīliánsīkè
拉缅斯科耶;Раменск-;lāmiǎnsīkēyē
别洛戈尔斯克;Белогорск-;biéluògēěrsīkè
普切日;Пучеж-;pǔqiērì
科捷利尼科沃;Котельниково-;kējiélìníkēwò
苏罗维基诺;Суровикино-;sūluówéijīnuò
泰舍特;Тайшет-;tàishètè
博古恰尔;Богучар-;bógǔqià’ěr
巴拉克拉瓦;Балаклава-;bālākèlāwǎ
兹伦卡;Злынка-;zīlúnkǎ
苏拉日;Сураж-;sūlārì
斯塔罗杜布;Стародуб-;sītǎluódùbù
结雅;Зея-;jiēyǎ
奎屯;Куйтун-;kuítún
卡拉奇;Калач-;kǎlāqí
哈罗夫斯克;Харовск-;hāluofūsīkè
科利丘吉诺;Кольчугино-;kēlìqiūjínuò
伊尔库茨克;Иркутск-;yī’ěrkùcìkè
波沃里诺;Поворино-;bōwòlǐnuò
大乌斯秋格;Великий Устюг;dàwūsīqiūgé
沃洛格达;Вологда;wòluògēdá
尤扎;Южа-;yóuzhā
戈罗杰茨;Городец-;gēluójiécí
姆格林;Мглин-;mǔgélín
波切普;Почеп-;bōqiēpǔ
科洛姆纳;Коломна-;kēluòmǔnà
纳里马诺夫;Нариманов-;nàlǐmǎnuòfū
帕拉索夫卡;Палласовка-;pàlāsuǒfūkǎ
斯科沃罗季诺;Сковородино-;sīkēwòluōjìnuò
舍别基诺;Шебекино-;shěbiéjīnuò
基涅什马;Кинешма-;jīnièshímǎ
维丘加;Вичуга-;wéiqiūjiā
奥斯特罗戈日斯克;Острогожск-;àosītèluógērìsīkè
莫戈恰;Могоча-;mògēqià
乌留平斯克;Урюпинск-;wūliúpíngsīkè
谢别日;Себеж-;xièbiérì
利瓦;Лива;lìwǎ
切巴尔库尔;Чебаркуль;qiēbā’ěrkù’ěr
伊夫杰利;Ивдель;yīfūjiélì
乌斯曼;Усмань;wūsīmàn
阿拉;Ала;ālā
萨基;Саки-;sà 
罗索希;Россошь-;luósuoxī
尤里耶韦茨;Юрьевец-;yóulǐyēwéicí
布拉茨克;Братск-;bùlācíkè
布图尔利诺夫卡;Бутурлиновка-;bùtú’ěrlìnuòfūkǎ
博代博;Бодайбо-;bódàibó
富尔马诺夫;Фурманов-;fù’ěrmǎnuòfū
乌斯季伊利姆斯克;Усть Илимск-;wūsījì yīlìmǔsīkè
安纳;Аннино-;ānnà
阿尔扎马斯;Арзамас-;ā’ěrzāmǎsī
苏兹达尔;Суздаль-;sūzīdá’ěr
苏多格达;Судогда-;sūduōgédá
谢列霍夫;Шелехов-;xièlièhuòfū
济马;Зима-;jìmǎ
古西赫鲁斯塔利内;Гусь Хрустальный;gǔxīhèlǔsītǎlìnèi
乌斯季库特;Усть Кут;wūsījìkùtè
卡梅什科沃;Камешково-;kǎméishíkēwò
科托沃;Котово-;kētuōwò
帕列赫;Палех-;pàlièhè
捷伊科沃;Тейково-;jiéyīkēwò
舒亚;Шуя-;shūyà
巴巴耶沃;Бабаево-;bābāyēwò
托季马;Тотьма-;tuōjìmǎ
戈罗霍韦茨;Гороховец-;gēluóhuòwéicí
克拉斯诺佩列科普斯克;Красноперекопск-;kèlāsīnuò pèilièkēpǔsīkè
辛菲罗波尔;Симферополь-;xīnfēiluóbō’ěr
日尔诺夫斯克;Жирновск-;rì’ěrnuòfūsīkè
波多利斯克;Подольск-;bōduōlìsīkè
克林;Клин-;kèlín
布拉戈维申斯克;Благовещенск-;bùlāgēwéishēnsīkè
戈罗季谢;Городище-;gēluójìxiè
列宁斯克;Ленинск-;lièníngsīkè
卡希拉;Кашира;kǎxīlā
伊斯特拉;Истра-;yīsītèlā
卡缅卡;Каменка-;kǎmiǎnkǎ
佳季科沃;Дятьково-;jiājìkēwò
比罗比詹;Биробиджан-;bǐluóbǐzhān
博布罗夫;Бобров-;bóbùluófū
科尔萨科夫;Корсаков;kē’ěrsàkēfū
占科伊;Джанкой-;zhànkēyī
科特拉斯;Котлас-;kētèlāsī
索科尔;Сокол-;suǒkē’ěr
奥萨;Оса-;àosà
巴甫洛夫斯克;Павловск-;bāfǔluòfūsīkè
茹科夫卡;Жуковка-;rúkēfūkǎ
乌斯秋日纳;Устюжина-;wūsīqiūrìnà
埃尔季利;Эртиль-;āi’ěrjìlì
布良斯克;Брянск-;bùliángsīkè
新济布科夫;Новозыбков-;xīnjìbùkēfū
列宁;Ленин-;lièníng
阿拉尔;Алар-;ālāěr
乌涅恰;Унеча-;wūnièqià
奥布卢奇耶;Облучье-;àobùlúqíyē
伊希姆拜;Ишимбай-;yīxīmǔbài
乌索利耶;Усолье-;wūsuǒlìyé
尼科利斯克;Никольск-;níkēlìsīkè
尼古拉耶夫斯克;Николаевск-;nígǔlāyēfūsīkè
新霍皮奥尔斯克;Новохопёрск-;xīnhuòpí’ào’ěrsīkè
莫扎伊斯克;Можайск-;mòzhāyīsīkè
扎沃尔日斯克;Заволжск-;zāwò’ěrrìsīkè
普里沃尔日斯克;Приволжск-;pǔlǐwò’ěrrìsīkè
鲁德尼亚;Рудня-;lǔdéníyà
基洛夫斯克;Кировск-;jīluòfūsīkè
托罗佩茨;Торопец-;tuōluōpèicí
杜博夫卡;Дубовка-;dùbófūkǎ
奥洛涅茨;Олонец-;àoluòniècí
列斯诺伊;Лесной;lièsīnuòyī
瓦尼诺;Ванино;wǎnínuò
利斯特维扬卡;Листвянка;lìsītèwéiyángkǎ
普列谢茨克;Плесецк;pǔlièxiècíkè
鄂霍次克;Охотск;àohuòcìkè
弗拉基米尔·弗拉基米罗维奇·普京;Владимир Владимирович Путин;fúlājīmǐ’ěr fúlājīmǐluówéiqí pǔjīng
基里尔;Кирилл;jīlǐ’ěr
科尔尼洛夫;Корниловская;kē’ěrníluòfū
克里莫夫;Климов;kèlǐmòfū
佩拉格娅;Пелагея;pèilāgéyà
叶夫根尼·叶夫图申科;Евгений Евтушенко;yèfūgēnní yèfūtúshēnkē
瓦列里娅;Валерия;wǎlièlǐyà
卡宾;Карпин;kǎbīn
娜塔莉;Натали;nàtǎlì
伊凡;Иван;yīfán
奥克兰;Оклан;àokèlán
涅列赫塔;Нерехта;nièlièhètǎ
齐赫文;Тихвинский;qíhèwén
托卡列夫;Токарев;tuōkǎlièfū
斯维拉娜·亚历塞维奇;Светлана Алексиевич;sīwéilānà yàlìsāiwéiqí
托尔巴奇克;Толбачик;tuō’ěrbāqíkè
列宁;Ленин;lièníng
斯大林;Сталин;sīdàlín
巴甫洛夫;Павлов;bāfǔluòfū
康斯坦丁·乌斯季诺维奇·契尔年科;Константин Устинович Черненко;kāngsītǎndīng wūsījìnuòwéiqí qì’ěrniánkē
卜弼德;Будберг;bǔbìdé
索斯诺夫卡;Сосновка;suǒsīnuòfūkǎ
埃尔季利;Эртиль;āi’ěrjìlì
阿列克谢·伊万诺维奇·李可夫;Алексей Иванович Рыков;ālièkèxiè yīwànnuòwéiqí lǐkěfū
波列伏依;Полевой;bōlièfúyī
苏霍姆林斯基;Сухомлинский;sūhuòmǔlínsījī
尼古拉耶夫;Николаев;nígǔlāyēfū
克鲁泡特金;Кропоткин;kèlǔpàotèjīn
列夫·托尔斯泰;Лев Толстой;lièfū tuō’ěrsītài
贝勒;Бретшнейдер;bèilè
阿古柏;Якуб;āgǔbó
列昂尼德;Леонид;liè’ángnídé
韦列夏金;Верещагин;wéilièxiàjīn
伊丽莎白·彼得罗芙娜·罗曼诺娃;Елизавета Петровна Романова;yīlìshābái bǐdéluófúnà luómànnuòwá
夏伯阳;Чапаев;xiàbóyáng
弗拉基米尔;Владимир;fúlājīmǐ’ěr
龙果夫;Драгунов;lóngguǒfū
莫戈恰;Могоча;mògēqià
厄尔布鲁士;Эльбрус;è’ěrbùlǔshì
狄克;Дыхтау;díkè
克尔;Келля;kè’ěr
波格拉尼奇内;Пограничный;bōgélāníqínèi
斯米尔诺夫;Смирнова;sīmǐ’ěrnuòfū
戈梅利;Гомель;gēméilì
奥尔沙;Орша;ào’ěrshā
科;Ко;kē
罗曼诺夫;Романовка;luómànnuòfū
莫吉廖夫;Могилёв;mòjíliáofū
达夫列卡诺沃;Давлеканово;dáfūlièkǎnuòwò
普斯科夫;Псков;pǔsīkēfū
明斯克;Минск;míngsīkè
斯摩棱斯克;Смоленск;sīmóléngsīkè
涅曼;Неман;nièmàn
波罗的斯克;Балтийск;bōluódīsīkè
古谢夫;Гусев;gǔxièfū
斯韦特雷;Светлый;sīwéitèléi
秋明;Тюмень;qiūmíng
巴尔瑙尔;Барнаул;bā’ěrnǎo’ěr
克麦罗沃;Кемерово;kèmàiluówò
克孜勒;Кызыл;kèzīlè
萨列哈尔德;Салехард;sàlièhā’ěrdé
雅库茨克;Якутск;yǎkùcíkè
乌兰乌德;Улан Удэ;wūlánwūdé
别列别伊;Белебей;biélièbiéyī
别廖夫;Белёв;biéliáofū
野猪河;Тетюхе;yězhūhé
达利涅戈尔斯克;Дальнегорск;dálìniègē’ěrsīkè
加特契纳;Гатчина;jiātèqìnà
别林斯基;Белинский;biélínsījī
别洛沃;Белово;biéluòwò
别洛戈尔斯克;Белогорск;biéluògēěrsīkè
别洛焦尔斯克;Белозерск;biéluòjiāo’ěrsīkè
基谢廖夫斯克;Киселёвск;jīxièliáofūsīkè
克利莫夫斯克;Климовск;kèlìmòfūsīkè
塞瓦斯托波尔;Севастополь;sèwǎsītuōbō’ěr
列索扎沃茨克;Лесозаводск;lièsuǒzāwòcíkè
科兹洛夫卡;Козловка;kēzīluòfūkǎ
基里希;Кириши;jīlǐxī
别洛列茨克;Белорецк;biéluòliècíkè
别尔茨克;Бердск;bié’ěrcíkè
别列兹尼基;Березники;biélièzīníjì
克尼亚吉尼诺;Княгинино;kèníyàjínínuò
科夫多尔;Ковдор;kēfūduō’ěr
科维尔基诺;Ковылкино;kēwéi’ěrjīnuò
别廖佐夫斯基;Берёзовский;biéliáozuǒfūsījī
别斯兰;Беслан;biésīlán
比罗比詹;Биробиджан;bǐluóbǐzhān
苏达克;Судак;sūdákè
科加雷姆;Когалым;kējiāléimǔ
科金斯克;Кодинск;kējīnsīkè
科泽利斯克;Козельск;kēzélìsīkè
博尔加尔;Болгар;bó’ěrjiā’ěr
博洛戈耶;Бологое;bóluògēyē
博洛特诺耶;Болотное;bóluòtènuòyē
柳比姆;Любим;liǔbǐmǔ
列宁诺戈尔斯克;Лениногорск;lièníngnuògēěrsīkè
列宁斯克;Ленинск;lièníngsīkè
比留辛斯克;Бирюсинск;bǐliúxīnsīkè
比利比诺;Билибино;bǐlìbǐnuò
比尔斯克;Бирск;bǐ’ěrsīkè
博古恰尔;Богучар;bógǔqià’ěr
利库斯拉夫尔;Лихославль;lìkùsīlāfūěr
洛布尼亚;Лобня;luòbùníyà
连斯克;Ленск;liánsīkè
莱蒙托夫;Лермонтов;láimēngtuōfū
伊万哥罗德;Ивангород;yīwàngēluódé
卡缅诺戈尔斯克;Каменногорск;kǎmiǎnnuògē’ěrsīkè
孔德罗沃;Кондрово;kǒngdéluówò
康斯坦丁诺夫斯克;Константиновск;kāngsītǎndīngnuòfūsīkè
利夫内;Ливны;lìfūnèi
布拉戈达尔内;Благодарный;bùlāgēdáěrnèi
博布罗夫;Бобров;bóbùluófū
波格丹诺维奇;Богданович;bōgēdānnuòwéiqí
科纳科沃;Конаково;kēnàkēwò
孔多波加;Кондопога;kǒngduōbōjiā
马加丹;Магадан;mǎjiādān
比留奇;Бирюч;bǐliúqí
布拉戈维申斯克;Благовещенск;bùlāgēwéishēnsīkè
利基诺-杜廖沃;Ликино Дулёво;lìjīnuò dùliáowò
利普基;Липки;lìpǔjī
利斯基;Лиски;lìsījī
别洛亚尔斯克;Белоярск-;biéluòyà’ěrsīkè
科尔萨科夫;Корсаков;kē’ěrsàkēfū
科里亚日马;Коряжма;kēlǐyàrìmǎ
科捷利尼奇;Котельнич;kējiélìníqí
科特拉斯;Котлас;kētèlāsī
科托沃;Котово;kētuōwò
科托夫斯克;Котовск;kētuōfūsīkè
科赫马;Кохма;kēhèmǎ
洛西诺-彼得罗夫斯基;Лосино Петровский;luòxīnuò bǐdéluófūsījī
卢霍维齐;Луховицы;lúhuòwéiqí
雷斯科沃;Лысково;léisīkēwò
博戈罗季茨克;Богородицк;bógēluójìcíkè
博戈罗茨克;Богородск;bógēluócíkè
科洛格里夫;Кологрив;kēluògélǐfū
波戈托尔;Боготол;bōgētuō’ěr
乌拉尔地区卡缅斯克;Каменск Уральский;wūlāěr dìqū kǎmiǎnsīkè
马尔梅日;Малмыж;mǎ’ěrméirì
小阿尔汉格尔斯克;Малоархангельск;xiǎoāěrhàngéěrsīkè
小雅罗斯拉夫韦茨;Малоярославец;xiǎoyǎluósīlāfūwéicí
科尔基诺;Коркино;kē’ěrjīnuò
科尔帕舍沃;Колпашево;kē’ěrpàshèwò
库尔干;Курган;kùěrgān
维堡;Выборг;wéibǎo
新西伯利亚;Новосибирск;xīnxībólìyà
科拉布利诺;Кораблино;kēlābùlì’nuò
顿涅茨克;Донецк;dùnniècíkè
科斯捷列沃;Костерёво;kēsījiélièwò
大乌斯秋格;Великий Устюг;dà wūsīqiūgé
尼科尔斯科耶;Никольское;níkē’ěrsīkēyé
新拉多加;Новая Ладога;xīn lāduōjiā
谢米卢基;Семилуки;xièmǐlújī
乌留平斯克;Урюпинск;wūliúpíngsīkè
切尔努什卡;Чернушка;qiēěrnǔshíkǎ
红苏林;Красный Сулин;hóng sūlín
红霍尔姆;Красный Холм;hóng huò’ěrmǔ
波德波罗日耶;Подпорожье;bōdébōluórìyē
斯韦托戈尔斯克;Светогорск;sīwéituōgē’ěrsīkè
普里奥焦尔斯克;Приозерск;pǔlǐ’àojiāo’ěrsīkè
金吉谢普;Кингисепп;jīnjíxièpǔ
布伊纳克斯克;Буйнакск;bùyīnàkèsīkè
布图尔利诺夫卡;Бутурлиновка;bùtú’ěrlìnuòfūkǎ
科罗廖夫;Королёв;kēluóliáofū
科利丘吉诺;Кольчугино;kēlìqiūjínuò
马马德什;Мамадыш;mǎmǎdéshí
马莫诺夫;Мамоново;mǎmònuòfū
杰格佳尔斯克;Дегтярск;jiégéjiāěrsīkè
库夫希诺沃;Кувшиново;kùfūxīnuòwò
库德姆卡尔;Кудымкар;kùdémǔkǎ’ěr
库万德克;Кувандык;kùwàndékè
弗谢沃洛日斯克;Всеволожск;fúxièwòluòrìsīkè
维索茨克;Высоцк;wéisuǒcíkè
雷特卡里诺;Лыткарино;léitèkǎlǐnuò
布拉茨克;Братск;bùlācíkè
基洛夫斯克;Кировск;jīluòfūsīkè
柳班;Любань;liǔbān
