wiki_id	label_zh	label_ru	country	type
http://www.wikidata.org/entity/Q533151	伊特科利湖	Иткуль	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q573134	圖洛斯湖	Тулос	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q658234	涅羅湖	Неро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q671989	古西諾耶湖	Гусиное	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q675234	蘇奧湖	Суоярви	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q709323	托波澤羅湖	Топозеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q718192	哈桑湖	Хасан	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1474939	謝伊多澤羅湖	Сейдозеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1342950	恩戈澤羅湖	Энгозеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1400480	伊爾佳亞什湖	Иртяш	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1416209	謝戈澤羅湖	Сегозеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1435837	紐克湖	Нюк	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1458409	皮亞奧澤羅湖	Пяозеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q730166	托列-霍利湖	Торе-Холь	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q731761	庫倫達湖	Кулундинское озеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q739577	朱盧庫利湖	Джулукуль	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q746304	謝利格爾湖	Селигер	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q747280	德里維亞特湖	Дривяты	http://www.wikidata.org/entity/Q184	lake
http://www.wikidata.org/entity/Q1460034	拉馬湖	Лама	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1460079	溫博澤羅湖	Умбозеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1463552	庫邊斯科耶湖	Кубенское озеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1471913	庫頁湖	Курильское	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q747554	納拉奇湖	Нарочь	http://www.wikidata.org/entity/Q184	lake
http://www.wikidata.org/entity/Q810395	巴斯昆恰克湖	Баскунчак	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q811672	巴溫特湖	Баунт	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q815646	別廖湖	Белё	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q827202	卡拉恰伊湖	Карачай	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1507924	沃熱湖	Воже	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1519853	夏莫澤羅湖	Сямозеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1520895	錢尼湖	Чаны	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1535541	皮亞西諾湖	Пясино	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q912150	馬科夫斯科埃湖	Маковское	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q924858	蓬喬澤羅湖	Пончозеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q930182	基延格-丘耶利湖	Киенг-Кюель	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q952248	洛沃澤羅湖	Ловозеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q953140	白湖	Белое озеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q840744	察甘-哈格湖	Цаган-Хаг	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q845868	泰梅爾湖	Таймыр	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q871303	切科湖	Чеко	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q890305	維爾馬亞爾維湖	Вирмаярви	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q905981	拉本克爾湖	Лабынкыр	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1688208	耶謝伊湖	Ессей (озеро)	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1576687	亞尼斯湖	Большое Янисъярви	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1587070	小漢泰卡湖	Малое Хантайское озеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1600939	梅爾科埃湖	Мелкое	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1617491	列溫松-列斯辛加湖	Озеро Левинсон-Лессинга	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1634432	季克紹澤羅湖	Тикшеозеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1634873	翁多澤羅湖	Ондозеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1639247	莫吉利諾耶湖	Могильное	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1646718	下奎托湖	Нижнее Куйто	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1687083	耶諾澤羅湖	Ёнозеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1818688	丘赫洛馬湖	Чухломское озеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1849443	沙爾塔什湖	Шарташ	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1854629	埃基特基湖	Экитыки	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1894057	中庫伊托湖	Среднее Куйто	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1894094	上奎托湖	Верхнее Куйто	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1933411	弗亞洛澤羅湖	Вялозеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1774501	涅爾皮奇耶湖	Нерпичье	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1781985	列克索澤羅湖	Лексозеро	http://www.wikidata.org/entity/Q159	lake
http://www.wikidata.org/entity/Q1786498	維維湖	Виви	http://www.wikidata.org/entity/Q159	lake
